Date,Description,Amount
01/03/2026,ADOBE  *CREATIVE CLOUD 408-536-6000,-59.99
01/04/2026,BH PHOTO VIDEO 800-947-4415 NY,-1249.00
01/05/2026,WAWA #482 00483 MEDIA PA,-52.14
01/07/2026,VERIZON WIRELESS PMT 800-922-0204,-95.00
01/08/2026,TST* LOCAL DINER PHILADELPHIA PA,-38.20
01/09/2026,AMAZON.COM*RT4G12KL3 AMZN.COM/BILL,-27.63
01/10/2026,SQ *CIRCLE K #20488 0834 WEST CHESTER,-41.02
01/11/2026,NETFLIX.COM 866-579-7172 CA,-22.99
01/12/2026,STAPLES 00109 EXTON PA,-84.77
01/14/2026,ADOBE  *CREATIVE CLOUD 408-536-6000,-59.99
01/15/2026,UBER EATS 8005928996 CA,-31.45
01/16/2026,DELTA AIR 0062334455221 ATLANTA GA,-412.60
01/17/2026,CLIENT DEPOSIT ACH CREDIT INV 1042,3200.00
01/18/2026,SHELL OIL 57442096 GLEN MILLS PA,-48.90
01/20/2026,WHOLE FOODS MKT 10269 PA,-118.44
01/21/2026,BH PHOTO VIDEO 800-947-4415 NY,-1249.00
01/22/2026,GITHUB.COM HTTPSGITHUB.C CA,-4.00
01/24/2026,CHIPOTLE 2148 WEST CHESTER PA,-14.85
01/26/2026,COMCAST CABLE COMM 800-266-2278,-129.00
01/28/2026,WAWA #482 00483 MEDIA PA,-52.14
